"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"/",64,18,19,21,23,28,36,58,88,88
"/about/",81,17,19,23,24,31,39,64,180,176
"/api/export/usa/all/show/2012/?lang=en&amp;product_classification=hs4&amp;data_type=json&amp;single_year=true",80,480,610,700,730,780,800,810,1600,1616
"Total",225,23,300,310,340,680,750,790,800,1616
